paperDOI,authorID,correspondingAuthor
8dbd57469bb32e6d57f23f5e765bf1c9ac8e080c,143754359,False
8dbd57469bb32e6d57f23f5e765bf1c9ac8e080c,2315830,False
8dbd57469bb32e6d57f23f5e765bf1c9ac8e080c,120962807,False
8dbd57469bb32e6d57f23f5e765bf1c9ac8e080c,2064595436,False
8dbd57469bb32e6d57f23f5e765bf1c9ac8e080c,1783184,False
8dbd57469bb32e6d57f23f5e765bf1c9ac8e080c,2212084492,False
8dbd57469bb32e6d57f23f5e765bf1c9ac8e080c,2109308930,False
8dbd57469bb32e6d57f23f5e765bf1c9ac8e080c,152244300,False
8dbd57469bb32e6d57f23f5e765bf1c9ac8e080c,23451726,False
8dbd57469bb32e6d57f23f5e765bf1c9ac8e080c,40900039,False
8dbd57469bb32e6d57f23f5e765bf1c9ac8e080c,2247662718,False
8dbd57469bb32e6d57f23f5e765bf1c9ac8e080c,78846919,False
8dbd57469bb32e6d57f23f5e765bf1c9ac8e080c,144884116,False
